a,b
0.948879924,0.9856639
0.977823757,0.9999131
1,0.9999887
0.929614358,0.9959734
1,0.9999821
1,0.99999154
0.918552824,0.991999
0.774015215,0.9151914
0.926259858,0.99874026
0.922713769,0.9995316
0.967493303,0.9994105
1,0.9999809
0.926133258,0.9627862
0.950502198,0.9030656
1,0.9994954
0.901122977,0.9928341
0.001203269,0.006059398
0.941129578,0.9963458
1,0.99999464
0.963262117,0.99998355
0.936491157,0.99530315
0.906355242,0.9739966
0.932552334,0.9800829
0.795194672,0.8612336
0.953907457,0.9982273
0.952791836,0.99845004
0.953680632,0.9882334
0.908282549,0.7251737
0.927889372,0.94731396
0.839917353,0.9900086
0.923793965,0.99979085
0.953970267,0.9882564
1,0.9999366
0.981613014,0.999926
0.985084104,0.9991511
0.973319189,0.9996294
0.921169999,0.9928861
0.890586718,0.13568105
1,0.99999404
0.942791074,0.99636286
1,0.99999714
0.919347947,0.9996822
0.973319292,0.9988933
0.924462571,0.9968471
0.957474777,0.9996555
0.910446616,0.9949287
0.934271688,0.99797887
0.956297951,0.98913527
1,0.99999666
0.951644692,0.7361377
0.977267934,0.9997719
1,0.9999852
0.008019291,0.02953687
0.934580376,0.88328165
0.937022202,0.9881904
0.93241124,0.99928075
0.96617903,0.9840682
0.882459726,0.9856021
0.970439376,0.99904567
0.967936397,0.9967629
0.931419201,0.9995478
0.972350592,0.999726
0.914893391,0.9981925
0.946714072,0.9867367
0.894937045,0.9989768
0.934332877,0.997787
0.964632158,0.9550604
0.945189295,0.99928683
0.816794614,0.8890338
0.973771076,0.99773186
0.948007249,0.7996617
0.920988149,0.99949396
0.969320339,0.9975764
0.876720073,0.9590607
0.957585093,0.9999193
1,0.9998072
0.943324295,0.9734558
1,0.99997735
0.933163436,0.9837653
0.925157335,0.96727484
1,0.9996722
0.947542785,0.9996207
0.977385697,0.99962056
0.927364678,0.9980579
0.982610381,0.9999672
0.941233583,0.991905
0.938857042,0.961918
0.000713036,0.000919726
0.967153633,0.9841011
0.967154546,0.9995198
0.968473868,0.99930143
1,0.9999994
1,0.99999964
0.927343258,0.9980063
1,0.999845
1,0.9999989
1,0.9999945
0.962142219,0.9960342
0.890988756,0.96741176
1,0.9999982
0.977514885,0.9960064
0.942410342,0.97978026
0.987209925,0.9998404
0.957362683,0.99997807
0.815064449,0.9689785
0.927367636,0.99677724
0.982226922,0.99466044
0.919728567,0.9911663
1,0.99998295
1,0.99999225
0.963350167,0.99898225
1,0.99999917
0.831223882,0.996201
0.761346147,0.37284452
1,1
0.948450667,0.9961398
0.892101769,0.9992704
1,0.99993336
0.973808252,0.99916387
0.9866123,0.99974626
0.956889487,0.9999081
0.982583734,0.9998995
0.921617406,0.9803949
1,0.99998474
0.958330534,0.99997497
0.975644728,0.9981505
1,0.9999931
0.980178457,0.99979717
0.903109816,0.981156
0.957848648,0.9997043
0.93351832,0.9996904
1,0.99999475
0.932357842,0.99835193
0.919558643,0.9818189
0.867676832,0.99880993
1,0.9999888
1,0.9999976
1,0.9999969
0.907991483,0.99330103
0.933787034,0.9956428
0.979587452,0.9893835
0.962415122,0.9992505
0.917713221,0.97860134
1,0.9999924
0.979096272,0.99998593
0.939671994,0.9959739
0.902044253,0.99787486
1,0.9996673
0.932482619,0.9975018
0.837058808,0.9950277
0.924352404,0.99795973
0.935074525,0.9848423
0.979353492,0.98660254
0.970584825,0.9995877
0.941087482,0.9966156
1,0.999974
0.969189819,0.9995771
0.943547401,0.9996927
0.947275817,0.94530946
0.000242461,0.00028904
1,0.9999825
0.93538982,0.99983525
1,0.99994755
0.965208318,0.99999225
1,0.999995
0.955982309,0.9976693
0.962444694,0.99717087
0.952215979,0.9998072
0.960929032,0.9966633
0.942907285,0.99825376
0.940754076,0.99675316
1,0.999995
1,0.99998987
0.942602859,0.99970335
1,0.99999666
1,0.9999963
1,0.99999845
0.940418181,0.9922754
0.962000935,0.99969065
1,0.99999917
1,0.9999999
0.962391607,0.9831308
1,0.99987566
1,0.9999993
1,0.9999969
1,0.9999902
0.947627966,0.99902177
0.969239357,0.98232424
0.956725891,0.9999831
0.934883103,0.9166464
0.947986862,0.984743
1,0.9999411
0.97824979,0.99936134
0.953464734,0.9996984
0.963337162,0.99727976
1,0.9999994
1,0.9999908
0.922099023,0.9997124
0.958616737,0.99886584
0.948354593,0.99984336
0.950004592,0.996332
1,0.99999774
0.960650364,0.99790907
0.924920751,0.99925524
1,0.9999653
0.928589834,0.8953513
1,0.9999958
0.809706495,0.9690058
1,0.99996233
0.956912474,0.99855274
1,0.999987
0.002182911,0.00032848
1,0.99999785
0.857574154,0.8589425
0.973776457,0.9978877
1,0.9999993
0.915768407,0.9985561
0.866543649,0.9993874
1,0.9999945
0.965700079,0.99686545
0.95043191,0.99971634
1,0.99995935
0.993421121,0.99984765
0.982342638,0.9965224
0.963273916,0.99981564
0.921262385,0.90727377
1,0.9999945
0.96031687,0.99927336
1,0.99997354
1,0.9999989
0.915266116,0.9840035
1,0.99999917
0.972514253,0.9950399
1,0.9999552
1,0.9999925
0.921696521,0.9916802
0.952290661,0.99510926
0.923764318,0.9958989
1,0.99996734
0.968750897,0.99385214
0.971217347,0.9992397
1,0.999841
0.896603334,0.97251433
1,0.9999931
0.907321959,0.9995952
0.94790354,0.9963252
0.956881029,0.9996878
0.942212323,0.945426
0.973610182,0.9968599
0.962705594,0.9991648
1,0.99999976
0.955212481,0.9995346
0.990847731,0.99963343
1,0.9999435
1,0.9999918
0.990994738,0.9998795
1,0.9999937
0.934209281,0.39895487
1,0.9999974
0.933857839,0.9993999
0.980455395,0.9998882
1,0.9999708
0.914480799,0.9560208
1,0.99994373
1,0.9999187
0.980522866,0.99957925
0.855281748,0.9873948
1,0.9999914
0.987724835,0.9991456
0.969695981,0.99459463
1,0.9999647
1,0.99999356
0.918344854,0.9749135
0.770192217,0.73186773
0.74767656,0.9633542
0.898833939,0.952237
0.951374816,0.9967084
0.904796335,0.9941543
0.936315918,0.9674736
0.919113637,0.98924327
0.912454465,0.996443
1,0.99999297
0.92917761,0.99911684
0.922537848,0.99685717
0.957581201,0.9997763
0.964617934,0.97146386
0.958729331,0.9999391
1,0.9999958
0.949349037,0.9997391
1,0.999997
1,0.9999229
0.888320178,0.997264
0.953756927,0.99879116
1,0.9999896
0.966259609,0.9965682
0.941511134,0.96801287
0.905368752,0.88070446
0.934133432,0.99415475
0.892453467,0.9922261
1,0.99999726
0.906758356,0.9992446
1,0.9999943
1,0.999997
0.901577655,0.965987
0.970477091,0.9991702
0.889009365,0.9933234
0.898161555,0.9904642
0.929741689,0.9847152
0.920038825,0.99900997
0.923297787,0.9979305
0.956273457,0.96042484
0.955070463,0.99748695
0.965126575,0.9930113
1,0.999954
0.974624672,0.99970907
0.931228039,0.99721944
1,0.99999404
0.969580087,0.99958533
0.974818464,0.99979836
0.973166064,0.9965964
1,0.99999905
0.778351429,0.8319422
1,0.9999964
0.952442058,0.99999166
1,0.99997556
1,0.99999714
0.985372122,0.999476
1,0.9999931
1,0.99996233
0.978631053,0.9998876
0.938242775,0.9807026
0.924065807,0.97610074
0.959461418,0.9999651
0.840920117,0.61376894
0.885754075,0.900933
0.850685492,0.9654651
0.966762924,0.9979936
1,0.99998105
0.951896745,0.99513215
0.990985073,0.9983596
0.919038087,0.99403054
0.955783026,0.99912137
0.90603377,0.98847777
1,0.9999856
0.956743842,0.97017044
0.981800729,0.9997397
0.917152512,0.99103725
0.92702287,0.99170095
1,0.99999785
0.927971082,0.9144908
0.942360211,0.9982436
1,0.99991906
1,0.9999927
0.93440379,0.99031913
1,0.99970454
0.972204686,0.9996947
0.988671245,0.9969427
0.972401582,0.9984445
1,0.99998784
1,0.999803
0.898649555,0.99767226
0.920689389,0.99977285
0.95418666,0.99437755
1,0.9999981
1,0.99990785
0.911460783,0.9805084
0.886464878,0.9394138
0.969891116,0.9938818
1,0.9999732
0.935186221,0.99937636
0.95472708,0.9998136
0.000123239,0.000497527
1,0.99944335
0.90432144,0.81537646
0.944718291,0.87589186
0.973065178,0.99980205
0.972183998,0.99669856
0.991404869,0.9995585
0.911558493,0.8904823
1,0.999948
0.934052067,0.9987955
1,0.99999774
1,0.9999864
0.969046693,0.9979892
0.898078772,0.9970933
1,0.99995816
0.914768465,0.9977463
0.937635572,0.9980647
0.975361691,0.99919254
1,0.99999154
1,0.9999907
0.976199715,0.9969516
1,0.9999789
0.957017925,0.9995621
0.989120276,0.99937266
0.974895822,0.9995943
1,0.999998
0.97945923,0.99909604
0.927269983,0.99978715
0.967164164,0.99929655
1,0.99998856
0.911684675,0.99492985
0.008671795,1.86E-06
0.96144157,0.95624006
0.923021543,0.9992305
1,0.9999969
1,0.99996364
0.974524153,0.9996784
0.935310439,0.99918133
0.950386437,0.99913555
0.980639606,0.999869
0.917947061,0.9952996
0.970518385,0.9999019
0.938742068,0.99726033
1,0.9999659
0.958140081,0.9987294
0.909638046,0.95690966
0.959300492,0.9994708
1,0.9999652
1,0.99993587
0.922310605,0.99947315
0.972011311,0.99183214
0.920068386,0.9963995
0.92592273,0.99944216
0.943426115,0.99978834
0.949448665,0.97147995
0.952002582,0.99989116
0.965660696,0.9998097
0.954450611,0.99260086
1,0.9999455
1,0.99999714
0.975443892,0.996296
0.964447144,0.99992156
0.944512897,0.99444526
0.965046856,0.99957937
1,0.9999641
0.933152089,0.99616915
0.962712181,0.9990458
1,0.99999607
0.868227687,0.98341334
0.957268152,0.99917275
1,0.9999914
1,0.999928
1,0.99998987
0.957455934,0.99920815
0.919875977,0.99636024
0.946528617,0.999326
0.934915366,0.99236226
0.969842795,0.98814464
0.943121343,0.99842465
0.930150352,0.99579644
1,0.9999988
0.947613752,0.99903214
0.898508558,0.9772185
1,0.9999964
0.928506111,0.99990165
0.946570707,0.9966788
0.927347442,0.6350668
0.93437829,0.99755424
0.982515385,0.9932747
0.967892437,0.99963784
1,0.9999889
0.936474937,0.9968465
0.886208674,0.97233474
0.90889111,0.9279522
0.937426608,0.999052
0.903777817,0.99682957
0.931641674,0.996381
1,0.9999943
0.949037193,0.97512066
0.932467416,0.9963833
0.981341042,0.99999833
1,0.9998994
0.943974279,0.99977523
0.923614014,0.9892832
0.867345901,0.957432
0.966511481,0.98825383
0.972200239,0.9995142
1,0.99998415
0.94524293,0.9987564
0.907946821,0.9801631
0.813926623,0.83539116
0.937053457,0.99079204
0.988304677,0.9992084
0.946195489,0.99716127
0.973720005,0.9999027
1,0.99998903
0.987726318,0.9973092
0.857112958,0.88199985
1,0.9999918
0.949090289,0.9997266
0.916464664,0.999723
0.947389524,0.99593216
0.908804176,0.9989478
0.950271057,0.9943316
0.949295924,0.9766739
0.923475458,0.99728227
0.93554924,0.94579697
0.956573705,0.99964356
1,0.99999714
0.892607084,0.9952311
0.001792806,0.000120236
0.977124123,0.99903
0.936022526,0.99510205
0.874206614,0.98888004
0.831299759,0.9886813
0.951114028,0.9999713
0.927546522,0.98443097
0.936684734,0.99978024
0.972250353,0.9989949
1,0.9999974
1,0.9999801
0.925327899,0.99959785
1,0.9999999
0.902778309,0.9995567
1,0.9999981
0.953038593,0.9884886
0.935817144,0.98927164
0.888343226,0.9736276
0.926254115,0.99833125
0.933898233,0.83263975
1,0.99999964
0.933149233,0.9366054
1,0.9999578
0.962101802,0.99572694
0.953809794,0.88737595
0.920899634,0.9770373
1,0.9999939
0.969501223,0.99952424
0.957846298,0.9988261
0.941911679,0.9991142
0.952886287,0.99301803
0.989234085,0.9986028
0.989861444,0.9998895
1,0.999997
0.819166609,0.99720806
1,0.99999356
0.924078914,0.99047244
0.830102606,0.97471625
0.907930717,0.96315366
0.963307317,0.9981078
1,0.99995685
0.984781873,0.99968624
0.964297318,0.99990475
0.93978221,0.86246234
0.957324735,0.9814372
1,0.9999856
0.911590169,0.9037621
1,0.99999607
0.907575479,0.98799103
0.918560814,0.9866496
1,0.99999785
1,0.99996233
0.918195558,0.96584374
1,0.99998856
1,0.9999908
0.9285901,0.99976295
0.92153504,0.9927683
0.973578456,0.99618584
1,0.99999547
0.964159779,0.99984586
1,0.9999999
1,0.99992
1,0.9999981
1,0.9999925
0.929687159,0.9998536
1,0.99999917
1,0.99998796
0.953534237,0.9983467
0.880454843,0.9177489
1,0.9999833
1,0.99997675
0.86228373,0.9108791
0.937751379,0.9846806
0.915700296,0.9998368
0.960321621,0.9998765
1,0.9999994
0.964979899,0.9995034
0.969438332,0.9970079
1,0.9999808
0.866634439,0.9874973
1,0.9999132
0.951743907,0.99809915
0.990740095,0.9984296
1,0.9999782
0.968734879,0.9991805
0.960549552,0.99969625
1,0.9999614
0.972205453,0.9999379
0.90571998,0.909957
0.978885546,0.9978089
1,0.9998938
0.965977229,0.9822926
0.943420861,0.9997042
0.002964319,0.000582623
0.957709757,0.9893728
1,0.99997663
0.002623419,3.34E-05
0.99141957,0.99857223
0.925950011,0.99557483
0.949837931,0.9999713
1,0.9999908
0.960397631,0.9864884
0.957719988,0.999966
0.974310476,0.99991584
0.941152566,0.9925741
1,0.9999995
1,0.99999535
0.973724519,0.9993389
0.960741541,0.993808
0.976734852,0.9907838
0.921964153,0.99994135
0.9215871,0.9950198
0.985328376,0.99997365
0.914147236,0.99845254
0.925287476,0.9998616
0.813475702,0.7956435
0.000729712,0.000849166
0.952946955,0.99770963
0.93901397,0.9623939
0.948193681,0.972549
0.886720419,0.99927527
0.95663503,0.9851858
1,0.9999933
0.871301127,0.9928433
0.947232268,0.9990004
0.962940515,0.99964523
0.962395796,0.9999424
0.913501769,0.9993703
0.9489803,0.9229932
0.924721832,0.9936727
0.980428694,0.9997993
0.891794333,0.9988945
1,0.9999999
0.987727121,0.99973387
1,0.99995697
1,0.9999999
1,0.99999225
0.951173574,0.99970204
1,0.9999988
0.882159451,0.94530594
0.956465812,0.999373
0.952807966,0.9667223
1,0.99999964
0.950660568,0.99940765
0.983687516,0.9971214
0.916876623,0.93285096
0.93785529,0.9987418
0.916758475,0.9979588
0.97265263,0.9989887
0.950682401,0.99955136
0.982147471,0.99656624
0.955287845,0.99957997
0.863417992,0.9994789
1,0.99997246
0.934018809,0.9915105
0.94979311,0.98951155
1,0.9999255
0.960159812,0.9982816
0.964755648,0.991437
1,0.9999759
1,0.99986625
0.000721381,0.003617706
0.959339427,0.9902794
0.819513989,0.977229
0.000757289,0.011763122
0.976767982,0.98569995
1,0.9927099
0.790432401,0.97036034
0.948923696,0.99683666
0.977614492,0.99935335
0.967887866,0.9970999
0.898052255,0.64167756
0.974366031,0.99545336
1,0.999998
0.969563413,0.97806454
0.944039671,0.99604744
1,0.999984
1,0.9999924
0.935516836,0.99969614
0.924373573,0.9996964
0.929628586,0.9988135
0.849822058,0.98627925
0.955960186,0.9881121
0.941085652,0.99301577
0.897627331,0.9990509
0.975680353,0.99629104
1,0.9999925
0.920852061,0.9995136
1,0.99999607
0.96802986,0.99917907
0.900569693,0.99647325
1,0.99999905
0.979421987,0.99618655
0.924577747,0.98195696
0.921449044,0.99959105
0.964326295,0.99605775
0.963767733,0.99914324
0.944343954,0.9994547
0.926072429,0.9974814
0.952224305,0.98708224
1,0.999987
0.883175838,0.99342006
0.915675925,0.995316
0.885858184,0.9675705
1,0.99986553
0.941276185,0.99970406
0.939710034,0.9960742
0.949385815,0.9977945
1,0.99998176
0.978491919,0.9985856
0.954956896,0.99821496
1,0.9999964
0.926846608,0.98083705
1,0.999858
1,0.99999964
0.886953988,0.9658052
0.954323762,0.9989806
1,0.9999895
1,0.9999833
1,0.9999974
0.942300414,0.9998896
0.928153974,0.7763887
1,0.9999962
1,0.9999783
1,0.99994123
0.952768128,0.99842036
0.953167232,0.99633765
0.936723377,0.9969729
0.936460909,0.9752459
1,0.9988668
1,0.999995
0.95850763,0.9979664
0.918939328,0.19999643
1,0.99999523
0.95717998,0.9957339
0.973135517,0.99880517
0.860800077,0.5480206
0.93964176,0.9718036
0.953683234,0.9978999
0.959793155,0.9982191
0.972449464,0.9950596
0.932330542,0.99350774
0.904679208,0.99453294
0.950464854,0.9999236
0.92104977,0.9991547
0.974428462,0.99973994
0.989420745,0.99661213
0.971790289,0.9829534
0.97768769,0.99874324
0.857933402,0.993378
0.891037292,0.9997861
0.923818902,0.9990569
0.889019969,0.97913504
0.950575122,0.9975344
0.913934479,0.99749833
0.863476302,0.9900457
0.943005931,0.9998228
0.935874408,0.9983535
0.969642969,0.9804693
0.915060422,0.9979247
0.930331177,0.99607
0.976553204,0.99946386
0.956937147,0.9940111
0.981881441,0.9920813
1,0.99999344
0.962971078,0.9929536
0.915097368,0.999602
0.870383867,0.9883994
0.964966856,0.9997881
0.934088544,0.9997539
0.950503757,0.9843588
0.920009386,0.989288
0.939785329,0.9013387
0.934487085,0.9957789
0.962749413,0.999114
1,0.9999777
0.939733281,0.99027133
1,0.9999542
0.939298275,0.98540086
1,0.99994373
1,0.9999957
0.933328613,0.99903715
0.006077434,9.49E-06
0.955486357,0.99863523
0.936994587,0.9930362
0.855336659,0.88202775
0.877112832,0.99870384
0.931576895,0.92681926
0.947027499,0.9997099
1,0.9999882
0.97357251,0.9907334
0.89910027,0.9986957
0.907095649,0.9921172
0.947220713,0.99962795
0.956278939,0.99779606
0.896459813,0.95182663
0.949785137,0.997166
1,0.9999782
0.951115848,0.9985671
1,0.99999356
1,0.99993527
1,0.99978906
0.936639309,0.76490533
0.982694311,0.998242
0.943471425,0.99986064
0.946457378,0.9963989
1,0.9999685
0.92440884,0.9964999
0.97540184,0.9999815
1,0.99997973
0.891285215,0.66774935
1,0.9999453
0.917099664,0.99479795
1,0.99992704
0.921539356,0.9513544
0.902729824,0.96375805
0.936587183,0.99584657
1,0.99999046
0.937053418,0.99960786
1,0.99999964
0.894154338,0.97982144
0.901671584,0.9962835
1,0.9999726
0.951455187,0.9422089
0.951948921,0.99093914
0.952220972,0.998602
1,0.99998856
0.947705484,0.9989485
0.909207309,0.99383825
0.868561072,0.9661447
0.965589036,0.99850816
0.946820337,0.98957974
1,0.9999758
1,0.9999887
0.885097938,0.9981698
1,0.99999845
1,0.9999236
0.964816949,0.9998122
0.952747263,0.9598311
0.955190196,0.99955744
0.917340802,0.9968419
0.913016891,0.9935922
1,0.9999125
0.945159412,0.92225254
1,0.9999683
0.865041329,0.9879595
0.955212001,0.6073929
0.965016409,0.9948591
0.945690277,0.99716514
0.973944173,0.9987903
0.945138611,0.99986446
0.966886183,0.99999464
1,0.99998844
0.930931069,0.9910183
0.953894124,0.9983841
0.811220671,0.9956773
1,0.99998546
0.963623484,0.99445146
1,0.9999958
0.950268901,0.9998994
0.958463669,0.99848026
0.931455425,0.9992787
0.957432943,0.99976
0.945935658,0.9815175
1,0.99954236
0.908468941,0.98148406
0.942285159,0.98553145
0.008860489,0.000120088
1,0.9999958
0.967767053,0.9926779
0.918532972,0.3575227
1,0.9998148
0.966914452,0.99966586
0.949671846,0.99654406
0.946855818,0.99585366
0.961732209,0.9973266
1,0.99999297
0.772140809,0.9513031
0.941927606,0.99736613
0.966507779,0.9989741
0.936994176,0.8442698
0.912167201,0.999041
1,0.99992
1,0.9999862
0.991458018,0.9999093
1,0.9999989
0.949258202,0.99981254
0.98250791,0.9991399
0.975035889,0.99963546
0.964131041,0.9997507
1,0.99997807
1,0.9999858
1,0.9999993
0.961027941,0.997715
0.953730467,0.99814665
0.935983452,0.9997397
0.937795644,0.99626774
1,0.9999124
0.954509206,0.9992981
0.883983322,0.9994404
0.979899122,0.9998191
0.885401265,0.79680735
0.951189222,0.99993
0.96208511,0.9900648
0.941711655,0.9967656
0.936593479,0.99952316
0.878087796,0.68498063
0.933085695,0.9889038
1,0.9999852
0.94952177,0.9990214
1,0.99999774
1,0.9999908
1,0.99999857
0.862343617,0.97640944
0.965917623,0.999572
0.935408845,0.9942068
1,0.9999422
1,0.9999846
0.889644037,0.99962664
1,0.9999713
0.877902899,0.99792886
1,0.99998546
1,0.99999774
0.935301036,0.98391354
0.966037921,0.99922013
0.950018464,0.9999832
1,0.9999913
0.895396628,0.9261783
1,0.999997
1,0.9999994
0.945351819,0.9993241
0.982982162,0.9996107
1,0.9999894
1,0.9999989
0.983477977,0.9999577
0.940236256,0.99997354
0.964324889,0.99734086
0.957521666,0.9984682
0.967539713,0.9919214
0.97772866,0.9999318
0.866729313,0.90423006
1,0.99991596
0.966283195,0.99966466
0.95570225,0.99611497
0.982440212,0.99960345
0.990045127,0.9999435
1,0.99981505
1,0.99999285
0.973297031,0.9297202
0.897873136,0.99840194
0.995521879,0.99997234
0.964486336,0.99489033
0.88636879,0.96701425
0.871613133,0.937368
0.951886403,0.9994697
0.925018732,0.88552517
1,0.9987909
0.906684731,0.9959853
1,0.9999989
0.889216009,0.47435728
0.958003636,0.9985752
1,0.9999217
1,0.9999411
0.962561076,0.9999472
0.938439731,0.92386353
0.907756011,0.99899286
1,0.99999106
0.972087546,0.9999105
0.897561157,0.98719984
0.90145864,0.9167097
0.878122136,0.9896354
0.921438807,0.92452556
0.93961665,0.9842477
0.765279834,0.9898867
0.951319319,0.96678704
1,0.99995613
1,0.9999993
1,0.9999622
0.940735397,0.9838774
1,0.99991584
0.945998757,0.9997608
0.964065257,0.974679
0.938625013,0.9999349
0.973141004,0.9998456
1,0.9999914
1,0.99999905
1,0.9999995
0.917291239,0.9997913
0.938830751,0.99422884
1,0.99984527
1,0.9999523
0.910659912,0.98942846
1,0.99999833
0.951591868,0.99998987
1,0.9999927
0.92458347,0.9911255
0.867291728,0.994181
0.879791444,0.36594906
0.963973493,0.99990034
0.955955018,0.9999528
0.948322729,0.99547845
0.893218686,0.99694
0.916549569,0.99856734
0.91807036,0.9853116
1,0.99998236
0.958306252,0.9961436
0.904388822,0.9952388
0.90649398,0.96781105
0.85381927,0.46810082
0.974664866,0.9991722
1,0.9999231
0.880324693,0.998899
0.949369804,0.9788344
0.932773456,0.98167187
0.921996878,0.9988475
1,0.99986196
0.967067414,0.9972042
1,0.99989617
0.985301477,0.9999436
1,0.9999769
0.88789171,0.9834071
0.978444995,0.99932396
1,0.99999905
1,0.9999993
0.896980468,0.9931263
1,0.9999659
1,0.9999937
1,0.9999716
0.955228813,0.9990883
0.940557553,0.99044853
0.918456821,0.9966875
0.979277692,0.99721164
1,0.9999994
1,0.9999988
0.986508265,0.9996431
0.965979886,0.9997867
0.948395347,0.99908555
0.905860467,0.99694127
0.006076898,3.56E-05
0.965399253,0.9996729
1,0.9999801
0.912755759,0.9976332
0.990864886,0.99998033
0.953080843,0.9510225
0.975518047,0.97838235
0.942520326,0.99923134
1,0.9999974
1,0.99999595
1,0.9999733
0.967571081,0.99816114
0.925281533,0.9988175
0.887291108,0.9962704
0.965973315,0.99418277
0.970938719,0.99028206
1,0.9999697
0.900835988,0.979404
1,0.9999957
1,0.9999976
0.922936712,0.9990381
1,0.99999547
0.966587984,0.9998803
0.905551198,0.9294049
0.917824772,0.9997768
1,0.9999794
1,0.9999856
0.923468131,0.9970409
0.928473093,0.96049196
0.885633027,0.962623
0.949366777,0.9991854
0.956234042,0.9997906
0.940043006,0.99297357
1,0.99999404
0.929064036,0.97913456
0.94325519,0.97421163
1,0.9998789
0.948926372,0.99091643
0.933561257,0.99830234
0.955738016,0.98098385
0.942017238,0.99874
1,0.9999876
0.948562855,0.9994191
0.969853498,0.9998418
0.956276484,0.99623847
1,0.9999411
0.891821946,0.9962451
0.889305061,0.90785336
0.95942027,0.9997799
0.935690855,0.99826044
0.960200861,0.99996746
0.9766007,0.9959214
0.923667753,0.807349
0.000267537,9.11E-05
0.966245057,0.9989685
0.937930469,0.9920149
1,0.9999962
0.931517804,0.8454218
1,0.999785
0.946554547,0.98972756
0.961901698,0.98735505
0.946378608,0.99468565
1,0.9998468
0.923827528,0.99959975
0.944005895,0.95006734
0.936519659,0.9944893
0.96333673,0.99392694
0.983077582,0.9963069
0.970187341,0.9995302
0.936418418,0.65727484
0.901720767,0.9368783
0.924473743,0.90393764
0.919592504,0.98626155
0.938598449,0.97671753
0.98459831,0.9983285
0.948868955,0.94445163
1,0.9996854
1,0.99979955
1,0.9999987
1,0.99999774
1,0.95594263
0.00111888,0.008160362
0.872070525,0.64316124
1,0.9999441
1,0.9998739
0.983867365,0.9997094
0.946539777,0.9943568
0.92679204,0.99187344
0.963708726,0.99961674
1,0.9999987
1,0.99999106
0.929677568,0.9948638
0.944883642,0.9291216
0.962309495,0.9999243
1,0.9999975
0.949059505,0.9989655
0.978836686,0.9994981
0.964876376,0.9978696
0.955846622,0.9999311
0.956005369,0.99801826
0.923554707,0.9865644
0.966807783,0.9941385
1,0.9999912
0.959396661,0.98418057
0.903916813,0.9996313
0.942934331,0.99924743
0.962501498,0.9995852
0.946520633,0.98690516
0.928559117,0.9999032
0.967695158,0.99588215
1,0.9999995
0.982793352,0.999772
0.962143395,0.99715376
1,0.9999367
1,0.999869
0.00156048,0.000909382
0.947528991,0.99731904
1,0.99997425
0.977485122,0.99993193
0.9755923,0.9994178
0.987121357,0.9977859
0.910447798,0.99256647
0.964708996,0.9819693
0.90983703,0.9763535
0.967268099,0.9993231
1,0.99999547
0.970613674,0.9981476
0.909848683,0.93596536
0.956534894,0.9998889
1,0.9999869
0.930511157,0.9982331
1,0.99997723
0.90679539,0.9977203
0.833833014,0.9136685
1,0.99999154
0.93397552,0.86418104
1,0.9999833
0.933876592,0.99933296
0.91804373,0.98558664
0.950670029,0.9983392
0.951293238,0.9976421
0.929380995,0.9907527
0.95145688,0.9997446
