Id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,Y
16508,74471,1,1.77,119091,1,0,119062,121556,1,0,1,2,118786,1,19830,123125,290919,1,118784,1,1,1,22,1,1
16510,33208,1,3.54,118446,1,0,117961,120605,1,1,1,1,118055,0,17970,148450,117887,1,118054,1,1,1,11,3,0
16512,3852,1,1.77,118225,1,0,117961,117906,1,0,1,2,118786,1,795,120551,290919,3,118784,1,1,2,7,1,1
16526,80216,1,1.77,118446,1,0,117961,117906,1,18,2,9,118322,1,21823,118684,290919,1,118321,1,1,1,2,1,1
16532,38390,1,1.77,118580,1,0,118212,117913,1,0,1,1,117888,1,85728,117895,117887,1,117885,1,1,1,2,1,1
16534,34949,1,10.62,118327,1,0,117961,187084,1,0,1,62,122131,1,20102,123757,121916,3,122129,1,1,1,4,1,1
16542,20363,1,7.08,118300,1,0,117961,118302,1,191,1,1,118296,1,4026,118301,118295,1,118293,1,1,1,3,1,1
16545,21914,1,3.54,118007,1,0,118006,117886,1,0,1,3,117888,1,25762,118008,117887,1,117885,1,1,1,2,1,1
16546,25992,1,3.54,118300,1,0,117961,117906,1,2,1,3,117908,0,806,123719,290919,2,117905,1,1,1,1,1,0
16569,20896,1,1.77,118300,1,0,117961,278014,1,0,1,5,119998,1,16822,164199,118131,1,119997,1,1,1,1,1,1
16571,17307,1,1.77,118225,2,0,117961,120324,1,0,1,1,122850,1,3281,119238,119095,1,122849,1,1,1,1,1,1
16574,17307,2,1.77,118300,1,0,117961,121873,1,10,1,2,118786,1,4620,119181,290919,1,118784,1,1,1,166,1,1
16581,44721,1,1.77,118343,1,0,117961,117906,1,7,1,1,118322,0,18181,118514,290919,2,118321,1,1,1,1,1,0
16585,14569,1,23.01,118085,1,0,118084,139264,1,1,1,1,128095,1,1999,131868,119184,1,128093,1,1,1,1,1,1
16586,39331,1,31.86,118026,1,0,91261,151426,1,0,1,1,118279,1,83216,123656,290919,1,118278,1,1,1,7,1,1
16588,43174,1,1.77,117962,1,0,117961,279443,1,0,1,1,118539,1,54684,118910,308574,1,118536,1,1,1,50,1,1
16589,33110,1,7.08,118225,1,0,117961,305057,1,0,1,2,122131,1,56161,119824,121916,1,122129,1,1,1,1,1,1
16590,79019,2,7.08,118413,1,0,117961,279443,1,0,1,1,118687,1,27,120370,308574,1,118685,1,1,1,2,1,1
16593,42092,1,1.77,118343,1,0,117961,133686,1,0,1,2,119435,1,5244,119598,118424,1,119433,1,1,1,4,1,1
16602,27728,2,3.54,118213,1,0,118212,139668,1,0,1,1,119096,1,46407,275600,119095,1,119093,1,1,1,22524,1,1
16603,79091,1,10.62,118300,1,0,117961,300044,1,0,1,19,123068,1,27067,118395,118398,1,123067,1,1,1,4,1,1
16605,75337,1,1.77,118580,1,0,118212,117897,1,0,1,3,117898,1,4922,117895,117887,1,117896,1,1,1,39,1,1
16608,3852,1,1.77,118343,1,0,117961,139584,1,3,1,3,122131,1,15646,119796,121916,2,122129,1,2,1,1,1,1
16611,1019,1,8.85,118300,1,0,117961,117906,1,0,1,1,118322,1,16642,81476,290919,1,118321,1,1,1,5,1,1
16617,34025,1,1.77,119692,1,0,119691,117906,1,5,1,4,122969,1,4420,118635,119695,1,122967,1,1,1,3,1,1
16620,34984,1,1.77,118386,1,0,117961,125128,1,0,1,1,118892,1,15554,123144,118398,2,118890,1,1,1,1,1,1
16625,39938,1,1.77,118052,1,0,117961,174445,1,0,1,1,120099,1,3267,118053,270488,1,120097,1,1,1,4,1,1
16629,45559,1,3.54,118413,1,0,117961,240983,1,4,1,4,117908,1,4583,120370,290919,1,117905,1,1,1,9,1,1
16630,75077,1,1.77,118386,1,0,117961,255097,1,0,1,1,118332,1,78408,125884,118331,3,307024,1,1,1,3,1,1
16631,78437,1,3.54,117903,1,0,117902,117906,1,0,2,1,117908,1,7058,118783,290919,1,117905,1,1,1,3,1,1
16637,26917,1,14.16,118413,1,0,117961,279443,1,0,1,1,118687,1,873,120526,308574,1,118685,1,1,1,1,2,1
16641,43629,1,1.77,118178,1,0,118555,212678,1,0,1,1,119851,1,15387,118575,118638,1,119849,1,1,1,5,1,1
16649,33351,1,1.77,118300,1,0,117961,118785,1,0,1,1,118786,1,7491,119181,290919,1,118784,1,1,1,1,1,1
16653,35789,1,3.54,118291,1,0,118290,122050,1,6,1,1,119139,0,23103,119136,118474,1,119137,1,1,1,1,1,0
16654,20278,1,1.77,118491,1,0,11146,137910,1,0,1,2,117973,1,14869,118599,117887,1,179731,1,1,1,64,1,1
16656,28402,1,1.77,118386,1,0,117961,239652,1,0,1,1,118749,1,7389,118746,118453,1,118747,1,1,1,1,1,1
16658,41233,1,1.77,117933,1,0,117932,117879,1,0,1,1,117880,1,67615,117878,19721,1,117879,1,1,1,1,1,1
16665,74141,1,1.77,117962,1,0,117961,123170,1,101,1,1,127783,1,44053,117904,290919,1,127782,1,1,1,2,1,1
16666,19822,1,1.77,118413,1,0,117961,117906,1,0,1,1,118322,1,5403,121639,290919,1,118321,1,1,1,11,1,1
16668,31200,1,1.77,117944,1,0,117943,174445,1,0,1,1,120099,1,1912,118042,270488,1,120097,1,1,1,6,1,1
16669,25992,1,10.62,118300,2,0,117961,278014,1,1,1,3,118532,1,4727,125872,118131,1,118530,1,1,1,1,1,1
16670,26429,1,1.77,118671,1,0,118670,117913,1,0,1,1,117898,1,33884,117895,117887,1,117896,1,1,1,2,1,1
16673,79205,1,1.77,118178,1,0,117887,117906,1,1,1,1,117908,1,59029,118320,290919,1,117905,1,1,1,1,1,1
16674,23920,1,1.77,118446,1,0,117961,130086,1,1,1,30,118786,1,17550,118684,290919,1,118784,1,1,1,148,1,1
16676,17277,1,14.16,118888,1,1,118887,309694,1,0,1,1,120791,1,3973,118631,118424,1,120789,1,1,1,37,1,1
16677,78831,1,3.54,118413,1,0,117961,207709,1,0,1,2,121596,1,3692,126229,4673,1,121594,1,1,1,405,1,1
16678,76859,1,7.08,118026,1,0,91261,117906,1,0,1,1,117908,1,86084,118317,290919,1,117905,1,1,1,2,1,1
16679,7542,1,1.77,118225,1,0,117961,117906,1,0,3,1,117908,1,17713,120663,290919,1,117905,1,1,1,2,1,1
16685,109181,1,3.54,117962,1,0,117961,117906,1,9,1,1,118322,1,20361,118352,290919,2,118321,1,1,3,1,1,1
16689,75471,1,31.86,118300,1,0,117961,129545,1,0,1,1,120008,1,5048,118458,118424,1,120006,1,1,1,3,1,1
16690,41659,1,1.77,118327,1,0,117961,311622,1,0,1,5,118332,1,91342,118933,118331,1,307024,1,1,1,1,1,1
16695,31440,1,1.77,118343,1,0,117961,310608,1,1,1,4,119929,1,51311,121747,118331,1,119928,1,1,1,4287,1,1
16698,75833,1,1.77,118446,1,0,117961,225085,1,0,1,8,118486,1,49960,120368,117887,1,118368,1,1,1,2,1,1
16700,31824,1,1.77,118300,1,0,117961,284553,1,0,1,4,120419,1,17058,119488,249618,1,120418,1,1,1,1,1,1
16702,44654,1,1.77,120343,1,0,120342,266864,1,0,1,2,118399,1,158757,118395,118398,1,118396,1,1,1,1586,1,1
16704,79091,1,3.54,118225,1,0,117961,129713,1,2,1,4,121124,1,16121,119824,118612,2,121122,1,1,1,1,1,1
16705,29099,1,8.85,118170,1,0,118169,310843,1,0,1,1,117948,0,15510,125857,292795,1,117946,1,1,1,27,1,0
16706,5352,2,3.54,117962,1,0,117961,122270,1,0,1,1,122271,1,19718,119223,118643,1,122269,1,1,1,129,1,1
16709,3852,1,1.77,118300,1,0,117961,240983,1,1,1,307,118322,1,3917,121405,290919,1,118321,1,1,1,5,1,1
16712,28567,1,7.08,119403,1,0,119402,117913,1,0,1,1,117898,1,94579,117895,117887,1,117896,1,1,1,1,1,1
16715,87036,1,1.77,121013,1,0,120864,174005,1,0,1,12,125173,1,5235,121961,118424,1,125171,1,1,1,33,1,1
16720,31192,1,1.77,118327,1,0,117961,126383,1,0,1,1,122131,1,858,118529,121916,1,122129,1,1,1,3,1,1
16722,39331,1,1.77,118386,1,0,117961,126309,1,0,1,2,118454,1,18213,125016,118453,1,118451,1,1,1,2,1,1
16723,79552,1,1.77,118300,1,0,117961,304465,1,2,1,1,120562,1,8370,121176,118643,1,120560,1,1,1,2,1,1
16725,15696,1,1.77,117903,1,0,117902,287351,1,0,1,1,118279,1,132529,132530,290919,1,118278,1,1,1,474,1,1
16727,79091,1,3.54,119281,1,0,119280,118806,1,1,1,1,117948,1,46662,117945,292795,3,117946,1,1,1,1,1,1
16728,32992,1,1.77,119091,1,0,119062,118036,1,6,1,1,117908,1,8221,143531,290919,1,117905,1,2,1,11,1,1
16732,80569,1,10.62,118413,1,0,117961,118959,1,0,1,2,120774,1,2270,120584,118960,1,120773,1,1,1,1,1,1
16735,34949,1,1.77,118327,1,0,117961,226262,2,2,1,1,132694,1,95479,118492,270488,1,132692,1,1,1,1,1,1
16737,75468,1,1.77,117903,1,0,117902,118959,1,0,1,1,159789,1,70142,118635,119695,1,159787,1,1,1,7,1,1
16744,74000,1,1.77,118091,1,0,118090,133533,1,3,1,1,117973,1,12240,119424,117887,1,179731,1,1,1,4,1,1
16747,31231,1,1.77,117952,1,1,117951,117897,1,2,1,1,117880,1,14560,117920,19721,1,117879,1,1,1,1,1,1
16748,918,1,12.39,118300,1,0,117961,117906,1,0,1,1,118786,1,1409,120722,290919,1,118784,1,1,1,1,1,1
16750,714,1,1.77,117962,1,0,117961,306399,1,0,1,1,118644,1,1483,118840,118643,1,118641,1,1,1,1,1,1
16752,75677,1,5.31,118213,1,0,118212,117906,1,0,1,4,117908,1,52434,123472,290919,1,117905,1,1,1,17,1,1
16755,39261,1,5.31,118386,1,0,117961,168365,1,2,1,6,118319,1,71189,118746,118205,1,118318,1,1,1,2,2,1
16757,42415,1,1.77,120865,1,3,120864,284982,1,12,1,2,118687,1,53255,124449,308574,1,118685,1,2,1,6,1,1
16758,30582,1,1.77,118574,1,0,118573,169886,1,0,1,2,118997,1,15503,118623,292795,1,118995,1,1,1,44,1,1
16761,6710,1,14.16,118413,1,0,117961,126257,1,0,1,1,132673,1,49850,122007,290919,1,132671,1,1,1,2,1,1
16764,20219,1,1.77,118257,1,0,118256,126238,1,0,1,2,118943,1,15610,117945,292795,1,259173,1,1,1,1,1,1
16765,80382,1,10.62,118327,1,0,117961,124862,1,0,1,2,120099,1,7807,118518,270488,1,120097,1,1,1,1,2,1
16775,25535,1,1.77,118300,1,0,117961,149229,1,0,1,7,149230,1,1915,119181,118643,1,149228,1,1,1,1,1,1
16781,79091,1,7.08,118225,1,0,117961,117906,1,0,1,1,118322,1,7553,118403,290919,1,118321,1,1,1,4,1,1
16783,36019,1,3.54,118220,1,0,118219,117897,1,3,1,1,117880,1,20648,117941,19721,1,117879,3,1,1,1,1,1
16784,35497,1,1.77,121013,1,0,120864,302318,1,1,1,1,118639,1,27293,128516,118638,1,118636,1,1,1,27,1,1
16787,21913,1,1.77,118300,1,0,117961,117906,1,0,1,3,118322,1,49657,121405,290919,1,118321,1,1,1,22,1,1
16793,80151,1,1.77,118343,1,0,117961,240983,1,0,1,1,118322,1,6999,121747,290919,1,118321,1,1,1,4,1,1
16795,75077,1,7.08,119692,1,0,119691,311441,1,0,1,64,122969,1,2343,118635,119695,1,122967,1,1,1,11,1,1
16796,80206,1,1.77,118225,1,0,117961,117906,1,0,1,1,117908,1,4642,120551,290919,2,117905,1,1,1,178013,1,1
16807,43363,1,8.85,119692,1,0,119691,287351,1,0,1,22,159789,1,51083,118635,119695,1,159787,1,1,1,3,1,1
16810,34435,1,1.77,117903,1,0,117902,142453,1,0,2,5,118865,1,72192,120283,118398,1,118863,1,1,1,1,1,1
16814,79874,1,1.77,118386,1,0,117961,130884,1,3,2,1,120117,1,79876,118404,119695,1,120115,1,1,1,30,1,1
16816,45443,1,1.77,118327,1,0,117961,128634,1,0,1,2,121529,1,1728,118507,118398,1,121527,1,1,1,248,1,1
16818,42030,1,1.77,118386,1,0,117961,130777,1,10,2,1,118505,1,2071,118501,118504,1,118502,1,1,1,5,1,1
16819,39261,1,148.68,118386,1,0,117961,117906,1,0,1,1,117908,1,59748,119954,290919,1,117905,1,1,1,4,1,1
16821,15359,1,1.77,118413,1,0,117961,117906,1,0,1,9,117908,1,51761,120370,290919,1,117905,1,1,1,3,1,1
16822,40854,1,1.77,118300,1,1,117961,117906,1,1,1,9,117908,1,7560,119195,290919,1,117905,1,1,1,2,1,1
16831,27588,1,5.31,119135,1,0,119134,307446,1,10,1,41,118175,1,185,118575,249618,1,118172,1,1,1,4,1,1
16837,74882,1,1.77,118225,1,0,117961,140153,1,0,1,13,118705,1,22819,119136,118704,1,118702,1,1,1,17,1,1
16842,73788,1,14.16,118888,1,0,118887,301534,1,0,1,1,118175,1,4853,120126,249618,1,118172,1,1,1,682,1,1
16845,17248,1,1.77,119597,1,0,119596,282594,1,0,2,2,120346,1,5262,124133,118424,2,120344,1,1,1,6,1,1
16846,81349,1,3.54,118343,1,0,117961,300136,2,0,1,1,118425,1,49535,118833,118424,1,118422,1,1,1,9,1,1
16848,25884,1,1.77,118257,1,0,118256,219357,1,0,1,1,128095,1,1945,118450,119184,1,128093,1,1,1,2,1,1
16852,75476,1,1.77,118386,1,0,117961,244844,1,0,2,1,119851,1,1838,118896,118638,1,119849,1,1,1,2,1,1
16853,80518,1,1.77,117969,1,0,117961,131356,1,0,1,2,118676,1,18011,118560,19793,1,118674,1,1,1,1,1,1
16857,19997,1,8.85,118225,1,0,117961,120324,1,1,1,1,119096,1,1553,123173,119095,1,119093,1,1,1,7,1,1
16858,30582,1,1.77,118574,1,0,118573,217378,1,0,1,14,118276,1,7748,117945,292795,1,118274,1,1,1,3,1,1
16862,35791,1,1.77,122974,1,0,122880,180031,1,116,1,2,118209,1,2661,122870,270488,1,118207,1,1,1,14,1,1
16865,43163,1,1.77,118327,1,0,117961,117906,1,0,1,1,118322,0,58916,118391,290919,1,118321,1,1,1,1,1,0
16866,39331,1,1.77,118386,2,0,117961,117906,2,0,1,17,118322,1,27214,118692,290919,1,118321,1,1,1,6,1,1
16873,76445,1,1.77,118300,1,0,117961,117906,1,0,1,2,118786,1,8234,118783,290919,1,118784,1,1,1,3,1,1
16876,45480,1,7.08,118343,1,0,117961,300136,1,0,1,1,118425,1,131441,118292,118424,1,118422,1,1,1,3,1,1
16879,74474,1,1.77,118446,1,0,117961,118448,1,28,1,2,118322,1,4474,119064,290919,1,118321,1,1,1,1,1,1
16883,16996,1,7.08,119344,1,0,119343,155173,1,0,1,1,126540,1,5054,123766,143398,1,126538,1,1,1,1,1,1
16884,23920,1,1.77,118343,1,0,117961,303717,1,0,1,1,120346,1,4950,119598,118424,1,120344,1,1,1,9,1,1
16886,36601,1,1.77,118300,1,0,117961,118054,1,0,1,1,118055,1,3116,147589,117887,1,118054,1,1,1,3,1,1
16890,5501,1,93.81,118343,1,0,117961,117906,1,27,1,1,117908,1,3242,118514,290919,1,117905,1,1,1,2,1,1
16894,16495,1,3.54,118225,1,1,117961,117906,1,0,1,1,118261,1,6137,119924,290919,1,118259,1,1,1,1,1,1
16896,33231,1,1.77,117903,1,0,117902,118368,1,6,1,1,118030,0,1725,118507,117887,1,118028,1,1,2,1,1,0
16899,28339,1,1.77,118671,1,0,118670,117913,1,0,1,1,117888,1,31070,117895,117887,1,117885,1,1,2,6,1,1
16900,7677,1,10.62,118041,1,0,117902,191237,1,0,1,1,118943,1,17059,117945,292795,1,259173,1,1,1,5,1,1
16908,79324,1,1.77,118300,1,0,117961,125128,1,2,2,1,118892,1,17733,119984,118398,1,118890,1,1,1,3,1,1
16912,38391,1,1.77,117930,1,0,117929,117886,1,4,1,1,118570,1,31857,117920,19721,2,118568,1,1,1,30,1,1
16913,15796,1,1.77,119302,1,0,119301,117906,1,6,1,4,118322,1,126191,119303,290919,1,118321,1,1,1,1,1,1
16923,52698,1,1.77,138799,1,1,138798,117906,1,0,1,2,117908,1,14839,120539,290919,1,117905,1,1,1,1,1,1
16924,39882,1,1.77,118052,1,0,117961,172635,1,0,1,1,117908,1,7551,118867,290919,1,117905,1,1,1,1,1,1
16929,75833,1,38.94,118052,1,0,117961,240983,1,1,1,10,117908,1,4452,120671,290919,1,117905,1,1,1,1,1,1
16932,40682,1,1.77,118225,1,0,117961,130134,1,0,1,4,118749,1,1331,118403,118453,1,118747,1,1,1,1,1,1
16935,15661,1,3.54,118225,1,0,117961,302830,1,7,1,1,128231,1,17835,118403,4673,2,128230,1,1,1,2,1,1
16936,33192,1,10.62,118413,1,0,117961,237727,1,0,1,3,118786,1,3843,120370,290919,1,118784,1,1,1,1,1,1
16937,97018,1,1.77,118300,1,0,117961,301218,1,0,1,1,118332,1,4933,118458,118331,1,307024,1,1,1,3,1,1
16945,16190,1,1.77,118327,1,0,117961,306399,1,0,1,3,118644,1,59067,121645,118643,1,118641,1,1,1,2,1,1
16948,34949,1,173.46,118178,1,0,118555,117906,1,3,1,2,118322,1,34479,118320,290919,1,118321,1,1,1,1,1,1
16955,23960,1,1.77,117969,1,0,117961,145499,1,25,1,3,120649,1,21261,118970,118398,1,120647,1,1,1,1,1,1
16962,15063,1,1.77,117969,1,0,117961,119111,1,0,1,1,117973,1,34375,117970,117887,1,179731,1,1,1,2,1,1
16966,23193,1,1.77,118300,1,0,117961,301218,1,0,1,1,118332,1,4933,118458,118331,1,307024,1,1,1,1,1,1
16972,42239,1,1.77,118413,1,0,117961,117906,1,0,1,5,118786,1,30,120370,290919,1,118784,1,1,1,2,1,1
16980,76879,1,8.85,118327,1,0,117961,185973,1,0,1,4,129911,1,1614,118507,118453,1,129909,1,1,1,3,1,1
16983,79120,1,1.77,118300,1,0,117961,300044,1,1,1,1,118399,1,17218,118395,118398,1,118396,1,1,1,4,2,1
16993,44811,2,1.77,118327,1,0,117961,117906,1,3,1,3,118322,1,1088,119830,290919,1,118321,2,1,1,1,1,1
16995,35751,1,1.77,118300,1,0,117961,118302,1,92,1,1,118296,0,16701,118458,118295,1,118293,1,1,1,13,1,0
17004,95932,1,3.54,118446,1,0,117961,117906,1,1,1,1,118322,1,87,118447,290919,1,118321,1,1,1,3,1,1
17005,80646,1,1.77,118052,1,0,117961,198530,1,0,1,1,118332,1,5312,120539,118331,1,307024,1,1,1,1,1,1
17007,37650,1,3.54,118091,1,0,118090,117913,1,0,1,1,117888,1,656,117912,117887,1,117885,1,1,1,16,1,1
17009,41757,1,1.77,118463,1,0,118315,150358,2,0,1,1,118322,1,70691,119214,290919,1,118321,1,1,1,22,1,1
17015,33053,1,8.85,118343,1,0,117961,309291,1,0,1,4,118914,1,3918,118660,118424,1,118912,1,1,1,11,1,1
17017,25811,1,1.77,118671,1,0,118670,135350,1,16,1,1,119194,1,2221,117878,119184,1,119192,1,1,1,2,1,1
17021,79499,1,1.77,118225,1,0,117961,134579,1,0,1,3,122033,1,23340,120663,122032,1,122030,1,1,1,1,1,1
17028,79310,1,3.54,118343,1,0,117961,269406,1,0,3,1,123068,1,30523,119984,118398,1,123067,1,1,1,2,1,1
17030,15023,1,12.39,118343,1,0,117961,120316,1,0,1,1,118687,1,1903,118514,308574,1,118685,1,1,1,6,1,1
17035,73107,1,5.31,117903,1,0,117902,120991,1,0,1,3,120992,1,1730,118507,118398,1,120990,1,1,1,1,1,1
17040,16218,1,5.31,118327,1,0,117961,117906,1,2,1,1,118322,1,70297,118744,290919,1,118321,1,1,1,26,1,1
17042,37941,1,3.54,118007,1,1,118006,117886,1,1,1,1,117888,1,60084,118008,117887,1,117885,1,1,1,3,1,1
17045,92382,1,3.54,118446,1,0,117961,117906,1,0,1,6,117908,1,17550,118684,290919,1,117905,1,2,1,82,1,1
17046,34983,1,1.77,121013,1,0,120864,174005,1,0,1,3,125173,1,5235,121961,118424,1,125171,1,1,1,1,1,1
17048,34627,1,15.93,118327,1,0,117961,181945,1,13,1,1,118319,1,8106,120559,118205,1,118318,1,1,1,2,1,1
17049,34949,1,5.31,118225,1,0,117961,117906,1,0,1,11,118322,1,7525,120551,290919,1,118321,1,1,1,1,1,1
17053,36479,1,1.77,118300,1,0,117961,117906,1,30,1,6,118786,1,8714,121951,290919,1,118784,1,1,1,1,1,1
17055,42349,1,24.78,127045,1,0,127044,165715,1,0,1,1,118786,1,30531,118821,290919,1,118784,1,1,1,4,1,1
17056,33641,1,3.54,117891,1,0,117890,122240,1,0,1,2,118570,1,54321,117878,19721,1,118568,1,1,1,1,1,1
17057,75638,1,1.77,118463,1,0,118315,129634,1,2,1,2,118786,1,49889,118404,290919,1,118784,1,1,1,1,1,1
17058,35067,1,3.54,118102,1,0,117890,117879,1,0,1,1,117880,1,58296,117878,19721,1,117879,1,1,1,3441,1,1
17060,34923,1,7.08,118413,1,0,117961,117906,1,1,1,3,118322,1,189,121639,290919,1,118321,1,1,1,1,1,1
17061,19988,1,3.54,119135,1,0,119134,136369,1,0,1,3,117898,1,1214,120171,117887,2,117896,1,1,1,1,1,1
17064,43055,1,7.08,118327,1,0,117961,240983,1,6,1,1,118322,1,2610,121979,290919,1,118321,1,2,1,4,1,1
17065,42346,1,1.77,118225,1,0,117961,117906,1,0,1,1,117908,1,19623,118403,290919,1,117905,1,1,1,4,1,1
17070,75833,1,30.09,118343,1,0,117961,244798,1,0,1,2,122275,1,3204,119142,3130,1,122274,1,1,1,17,1,1
17073,22597,1,58.41,118343,1,0,117961,150358,1,0,1,3,118322,1,30534,119142,290919,1,118321,1,1,1,28,1,1
17075,21445,1,3.54,118300,1,0,117961,309123,1,0,1,1,120791,1,3118,118458,118424,1,120789,1,1,1,228,1,1
17078,106544,1,8.85,118300,1,0,117961,117906,1,3,1,1,118322,1,56193,120410,290919,2,118321,1,1,1,5,1,1
17081,88478,1,1.77,118052,1,0,117961,310598,1,0,1,1,118399,1,17209,123144,118398,1,118396,1,1,1,1,1,1
17085,20293,1,1.77,118011,1,0,117916,199148,1,1,1,6,117973,1,56653,118599,117887,1,179731,1,1,1,15,1,1
17088,80777,1,1.77,118343,1,0,117961,311622,2,2,1,1,118332,0,6235,118437,118331,1,307024,1,1,1,4,1,0
17090,16017,1,3.54,117954,1,0,5110,273102,1,0,1,11,128199,1,7320,122672,119772,1,128197,1,1,1,59,1,1
17091,34259,1,3.54,120865,1,0,120864,117906,1,1,1,6,117908,0,8698,119824,290919,1,117905,1,1,1,1,1,0
17095,32418,1,5.31,118327,1,0,117961,117906,1,1,1,2,117908,1,8433,118929,290919,1,117905,1,1,1,1,1,1
17100,23180,1,1.77,117877,1,0,117876,117879,1,0,2,5,117880,1,3941,117878,19721,1,117879,1,1,1,5,1,1
17101,73814,1,1.77,118316,1,0,118315,162182,1,21,1,1,119174,1,59749,118464,118467,1,119172,1,1,1,1,1,1
